application id,association,link
ig2502473114801022689,iris_rover,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/146300257_2211851458946752_4080605805135097951_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=jDR5DFfInoUAX_2m2Zd&edm=ABfd0MgAAAAA&ccb=7-4&oh=5af617b37b24b4c8aa4a2abc5b0d2050&oe=60A0E6FC&_nc_sid=7bff83
ig2536536625086553074,heinzcollege_careersvcs,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/164878716_449255022992872_9090668038984936327_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=yIXv61-GsYkAX-S6Bd1&edm=ABfd0MgAAAAA&ccb=7-4&oh=767863d5bca31f014796392502f78618&oe=609E5D97&_nc_sid=7bff83
ig2527768575055192712,heinzcollege_careersvcs,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/159678684_488996979180397_8142441980569115573_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=iFXuU-QSUkoAX8_Szzx&edm=ABfd0MgAAAAA&ccb=7-4&oh=35e5b0d734a558fe10bc3e7af4149f44&oe=609E7131&_nc_sid=7bff83
ig2435082501405549400,heinzcollege_careersvcs,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/123468333_287804362413378_3184668722624013139_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=106&_nc_ohc=zR1Vnuaor20AX9kxa5X&edm=ABfd0MgAAAAA&ccb=7-4&oh=9aa3b44466f88bdeffb6ec56dea8e5cf&oe=609F8B17&_nc_sid=7bff83
ig2426296145544047104,heinzcollege_careersvcs,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/122226411_146347510547488_3975926397244437134_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=v6cQIzAKtGEAX8C8Esq&edm=ABfd0MgAAAAA&ccb=7-4&oh=6786adf57a10f59a2aaa3b48404ca198&oe=609DF3E5&_nc_sid=7bff83
ig2425108338565882621,heinzcollege_careersvcs,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/122045346_2720740751527172_5551883141867654541_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=108&_nc_ohc=TL-vRrA8edIAX-IzYtW&edm=ABfd0MgAAAAA&ccb=7-4&oh=d336f310cf561150b02d9587f709cb02&oe=609EF06F&_nc_sid=7bff83
ig2414678279820455518,heinzcollege_careersvcs,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/120938943_671341367121466_7767034521984572711_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=TS2KDsSRZ6QAX9ECZHY&edm=ABfd0MgAAAAA&ccb=7-4&oh=2d43faae5ff3aaca67baa94927547237&oe=60A02397&_nc_sid=7bff83
ig2547333360666859391,carnegiemellonece,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/169516446_130972205603185_6487758879931039077_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=C9ipAEkX4A8AX_54Wj9&edm=ABfd0MgAAAAA&ccb=7-4&oh=c9f9a29122527da5ef629727a46d57c5&oe=60A02C5E&_nc_sid=7bff83
ig2546660186377893342,carnegiemellonece,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/169211918_153676633311479_8923729643414900994_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=pRUy7Hk7HpIAX_wopkH&edm=ABfd0MgAAAAA&ccb=7-4&oh=2176ebe3528e963a32004a924c187ae8&oe=609E2848&_nc_sid=7bff83
ig2541595626113385737,carnegiemellonece,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/166986613_286404356441257_9067777800256419724_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=bxP9qQbfMAUAX-fNebr&edm=ABfd0MgAAAAA&ccb=7-4&oh=526bcebc177de2ddb8669a87d324e006&oe=60A0184C&_nc_sid=7bff83
ig2540923674059284545,carnegiemellonece,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/166992593_450828902839545_8258335789443747292_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=_GXMkWgHUJ4AX9YJmLU&edm=ABfd0MgAAAAA&ccb=7-4&oh=7ea45b5e6b6df9ae0d136ecbe4dec25f&oe=609F79C8&_nc_sid=7bff83
ig2539617631762994367,carnegiemellonece,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/165304242_1359021554466056_1112024021714360019_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=108&_nc_ohc=M4nWMMUfQTQAX9z2prB&edm=ABfd0MgAAAAA&ccb=7-4&oh=b72d9d17cab2554ac9a11c21291abed2&oe=609EB08D&_nc_sid=7bff83
ig2535908938851825525,carnegiemellonece,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/e35/163528168_1876152759217995_4342987143194731130_n.jpg?tp=1&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=PdnjPDeRFH4AX8PM34s&edm=ABfd0MgAAAAA&ccb=7-4&oh=b794421eb276093d769eb8d29b95dd94&oe=60A0EDF6&_nc_sid=7bff83
pt0,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/28/fd/02/28fd029c51bf32a5a537ed68a84c0210.jpg
pt1,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/4f/9b/5a/4f9b5ae98b0eedcb119afcf10a0651f8.jpg
pt2,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/80/13/e3/8013e3935c1e5691388d5d3ac5d47b84.jpg
pt3,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/e7/31/2d/e7312d6a65804324f148199094f5af27.jpg
pt4,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/fc/0e/b0/fc0eb020591503ae54da0a2cdcfde982.jpg
pt5,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/4d/20/cb/4d20cb3a86cec41770cb893d3f2605ae.jpg
pt6,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/7e/f0/a0/7ef0a09e12040cba33ecf3ad93c5dfea.jpg
pt7,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/b9/ff/25/b9ff25a8e469541649e94e6513e7ef1d.jpg
pt8,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/70/68/e8/7068e81e1449550e332775b5761c7332.jpg
pt9,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/e4/33/bc/e433bc5a67ef29db32d7451a57b62017.jpg
pt10,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/35/e3/c5/35e3c57a8c7da02578446708ebc748b3.jpg
pt11,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/2d/67/bb/2d67bb2d1fbc5ef90a91be4b6c62664c.jpg
pt12,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/6b/60/a1/6b60a17968faa55c574073f56c9065dd.jpg
pt13,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/77/d5/93/77d593fb68f89f468b29c46eec94a78e.jpg
pt14,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/b3/44/32/b34432c18a8092d126e32fa5a9a7d57e.jpg
pt15,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/b3/90/80/b390801043425989a652212ed9314444.jpg
pt16,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/e1/fd/0c/e1fd0ca7a6dbfc0bcfab8506a2fd6d99.jpg
pt17,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/a7/4a/03/a74a036c8ce0c49377c79e2732a473ff.jpg
pt18,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/8b/13/b4/8b13b4406cfb387d2e95af13f7525f94.jpg
pt19,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/0e/e1/4f/0ee14fcd40bb747e665ba37f359074ff.jpg
pt20,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/a8/23/a0/a823a063f45e7a7cc95d0f5830ea4a48.jpg
pt21,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/79/0d/1e/790d1edfb35757934e5092541c3333da.jpg
pt22,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/da/66/0d/da660da1defc8bdd1beda95f99ea6dd0.jpg
pt23,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/38/76/8c/38768c84e564a082cd47f7582e523002.jpg
pt24,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/88/3d/88/883d889acad8d57d13440bd9ad2856de.jpg
pt25,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/9b/aa/cc/9baacc9febd0a07abadfd49fa3aba7d1.jpg
pt26,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/76/84/9e/76849eaa6064bd6167c4a6010b3a78cc.jpg
pt27,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/7b/6f/6a/7b6f6ad111b7ee91ca5864cf84d7ae59.jpg
pt28,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/01/aa/f5/01aaf590d23f5ce1e3c6a233cd9275d5.jpg
pt29,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/f9/c5/e8/f9c5e882e1b2a7eea17e278388009b7e.jpg
pt30,jake.cerwin@yahoo.com,https://i.pinimg.com/236x/65/a5/db/65a5db3c0442420feb33955867bb12e9.jpg
wh0,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354794486/superthumb.jpg?t=1618578487
wh1,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354794020/superthumb.jpg?t=1618577330
wh2,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354794019/superthumb.jpg?t=1618577330
wh3,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354794018/superthumb.jpg?t=1618577328
wh4,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354794013/superthumb.jpg?t=1618577310
wh5,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354792633/superthumb.jpg?t=1618574012
wh6,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354791052/superthumb.jpg?t=1618568727
wh7,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354790961/superthumb.jpg?t=1618568196
wh8,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354790609/superthumb.jpg?t=1618567175
wh9,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354790442/superthumb.jpg?t=1618566841
wh10,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354788836/superthumb.jpg?t=1618561728
wh11,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354787904/superthumb.jpg?t=1618558877
wh12,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354786706/superthumb.jpg?t=1618553728
wh13,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354786481/superthumb.jpg?t=1618552790
wh14,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354782938/superthumb.jpg?t=1618538464
wh15,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354780750/superthumb.jpg?t=1618530562
wh16,"'Plant Pictures', 'Terrarium Pictures', 'Terrabliss Pictures'",https://data.whicdn.com/images/354780591/superthumb.jpg?t=1618529951
li0,Rahul Rau,https://media-exp1.licdn.com/dms/image/C5103AQGcLZonbtv-Kw/profile-displayphoto-shrink_100_100/0/1575983762245?e=1623888000&v=beta&t=_Yw4HkPjWNSZo7A8Yy2dugFfVewiibRl7R_m1O9ugWg
li1,Shopif,https://media-exp1.licdn.com/dms/image/C4D03AQGkK976oYvW7Q/profile-displayphoto-shrink_100_100/0/1606553805261?e=1623888000&v=beta&t=dUXagavoJaikF-EfDarSBpdcr2te_Q_Razd6GiBZAOc
li2,Vinay Chamol,https://media-exp1.licdn.com/dms/image/C5103AQGT8D-ndOaueA/profile-displayphoto-shrink_100_100/0/1528795316851?e=1623888000&v=beta&t=6jZBhf_2B2qH6mCsfHnTgZ8NKfTzbXHTPGfUL3I8ogI
li3,Nistha Tripath,https://media-exp1.licdn.com/dms/image/C5603AQGRQMzQqBkaDQ/profile-displayphoto-shrink_100_100/0/1614525483334?e=1623888000&v=beta&t=5aJNmUe3RVtaE8TGZZ-_zeMm87C4rELzWXAGlEkJobM
li4,Synta,https://media-exp1.licdn.com/dms/image/C5103AQE_Ku2Fbl29BQ/profile-displayphoto-shrink_100_100/0/1516542201908?e=1623888000&v=beta&t=8oljK_a_CawePXOgpP_4C49b_Nwv4x011ZronUVz90o
li5,NASA - National Aeronautics and Space Administratio,https://media-exp1.licdn.com/dms/image/C5603AQF27JNi3nc7XQ/profile-displayphoto-shrink_100_100/0/1528657810160?e=1623888000&v=beta&t=hbmd-KyYXfdS41MJH4E8zHERXkRr0Pe4sLOVlvwekUk
li6,Leah Fitzgeral,https://media-exp1.licdn.com/dms/image/C5603AQHeyW45MaHYYw/profile-displayphoto-shrink_100_100/0/1589556334053?e=1623888000&v=beta&t=xUg4GuCdS42e_1wT6Z94Sga2XBOe_FHUd_Y4Ipa-R78
li7,Fact of the Day ,https://media-exp1.licdn.com/dms/image/C5603AQFJJis42GnyiQ/profile-displayphoto-shrink_100_100/0/1549847698252?e=1623888000&v=beta&t=yObU9xBwLUFTPcQoLYWmjdy4mHSr5bk58CT1rtmNVnE
li8,Palak Jadwan,https://media-exp1.licdn.com/dms/image/C4E03AQGb9xMjHEgbtQ/profile-displayphoto-shrink_100_100/0/1539305228303?e=1623888000&v=beta&t=EjnzpAl7yPb8eTDFPYydN4PeS30P6wPA7_8BElX_xjY
li9,Pulkit Agrawa,https://media-exp1.licdn.com/dms/image/C4E03AQFhHZmqJaUPOg/profile-displayphoto-shrink_100_100/0/1591382999064?e=1623888000&v=beta&t=lR-QAV38aIZPJz9NrRcU9jpptTb1aPKHFZQIgRy0L7Y
li10,Prakash Dube,https://media-exp1.licdn.com/dms/image/C5103AQHOMnmYTD44Dw/profile-displayphoto-shrink_100_100/0/1517043249241?e=1623888000&v=beta&t=5pV5B9enzgujKsy2WkdpEqLDw4H8TZo5TLFu3pt2R5M
li11,Danny M,https://media-exp1.licdn.com/dms/image/C4E03AQEUNqBsKk3Rvg/profile-displayphoto-shrink_100_100/0/1581703143546?e=1623888000&v=beta&t=7NTjND-PJNdBRekZ0QjjBk-JDDdOvxL6uQ4Zxu8xNBM
li12,Loic Le Meu,https://media-exp1.licdn.com/dms/image/C4D03AQGNDaqU4kCVYQ/profile-displayphoto-shrink_100_100/0/1517286950373?e=1623888000&v=beta&t=JbGJX3H6DugI_6P8EPsnXh_Ki6GHPj4_Fec3zLT_dbU
